2023-04-23 21:19:06.609 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2fea9a7b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2aa07d80, org.springframework.security.web.context.SecurityContextHolderFilter@5eee3da9, org.springframework.security.web.header.HeaderWriterFilter@1fa18f87, org.springframework.security.web.authentication.logout.LogoutFilter@32646ecf, top.wuml.security.filter.AuthenticationTokenFilter@55c50f52, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3573e19d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5c1dd18, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@69c1ea07, org.springframework.security.web.session.SessionManagementFilter@7544260a, org.springframework.security.web.access.ExceptionTranslationFilter@3e2772a9, org.springframework.security.web.access.intercept.AuthorizationFilter@73234691]
2023-04-23 21:19:07.264 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-23 21:19:07.299 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-23 21:19:07.314 [main] INFO  top.wuml.ServerApplication - Started ServerApplication in 8.849 seconds (process running for 10.731)
2023-04-23 21:19:07.402 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-23 21:19:07.402 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-23 21:19:07.403 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-23 21:19:08.397 [http-nio-8080-exec-24] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 213 ms
2023-04-23 21:24:08.288 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-23 21:24:08.345 [main] INFO  top.wuml.ServerApplication - Starting ServerApplication using Java 17.0.4.1 with PID 21484 (D:\ideaWorkspace\api-boot\api-server\target\classes started by 65648 in D:\ideaWorkspace\api-boot)
